snapshot_ts_utc,snapshot_date,chart_source,chart_page,chart_rank,track_name,artist_name,lastfm_url,lastfm_mbid,lastfm_duration_ms,lastfm_listeners,lastfm_playcount,musicbrainz_recording_id,musicbrainz_release_title,musicbrainz_release_date,musicbrainz_primary_type,musicbrainz_first_release_year,track_key
2026-04-25T07:49:58.367668+00:00,2026-04-25,lastfm_chart_toptracks,1,1,Drop Dead,Olivia Rodrigo,https://www.last.fm/music/Olivia+Rodrigo/_/Drop+Dead,b9b4ddd4-ee57-4259-9853-e8de6cb27867,224000.0,418587.0,4256904.0,b9b4ddd4-ee57-4259-9853-e8de6cb27867,drop dead (alternate videos),2026-04-22,Single,2026.0,olivia rodrigo|||drop dead
2026-04-25T07:49:58.367668+00:00,2026-04-25,lastfm_chart_toptracks,1,2,Stateside + Zara Larsson,PinkPantheress,https://www.last.fm/music/PinkPantheress/_/Stateside+%252B+Zara+Larsson,ffbf7862-2476-4164-ac32-f5904ccefe0f,,1182349.0,18989661.0,,,,,,pinkpantheress|||stateside + zara larsson
2026-04-25T07:49:58.367668+00:00,2026-04-25,lastfm_chart_toptracks,1,3,Beauty and a Beat,Justin Bieber,https://www.last.fm/music/Justin+Bieber/_/Beauty+and+a+Beat,014d6d73-b235-3c1a-b4e8-589603732ae8,144000.0,1650734.0,15900903.0,05e45817-39d5-4c23-a6e9-762836d01fe8,Believe Acoustic,2023-07-25,Album,2013.0,justin bieber|||beauty and a beat
2026-04-25T07:49:58.367668+00:00,2026-04-25,lastfm_chart_toptracks,1,4,Babydoll,Dominic Fike,https://www.last.fm/music/Dominic+Fike/_/Babydoll,c6fa2cd4-a100-4db8-8206-3cbcdd3aabe0,99000.0,1641280.0,24620907.0,cefb0de0-398a-4cc9-8d60-5676cbf6daa1,Now That’s What I Call Music! 123,2026-04-17,Album,2026.0,dominic fike|||babydoll
2026-04-25T07:49:58.367668+00:00,2026-04-25,lastfm_chart_toptracks,1,5,Earrings,Malcolm Todd,https://www.last.fm/music/Malcolm+Todd/_/Earrings,,0.0,624891.0,8093433.0,5167d8a8-f450-4062-be89-4d427a436540,Sweet Boy,2024-04-05,Album,2024.0,malcolm todd|||earrings
2026-04-25T07:49:58.367668+00:00,2026-04-25,lastfm_chart_toptracks,1,6,Manchild,Sabrina Carpenter,https://www.last.fm/music/Sabrina+Carpenter/_/Manchild,16afd537-24ce-45f4-b3bc-e2ac99de3bf0,213000.0,1257329.0,24974277.0,44a89ba2-3f6f-46e1-bc7e-8c4676203b69,Man’s Best Friend (Bonus Track Version),2025-06-05,Album,2025.0,sabrina carpenter|||manchild
2026-04-25T07:49:58.367668+00:00,2026-04-25,lastfm_chart_toptracks,1,7,Dracula - JENNIE remix,Tame Impala,https://www.last.fm/music/Tame+Impala/_/Dracula+-+JENNIE+remix,115ccba3-2f4c-42b5-8b44-58120553d4c2,209000.0,577725.0,4233574.0,,,,,,tame impala|||dracula - jennie remix
2026-04-25T07:49:58.367668+00:00,2026-04-25,lastfm_chart_toptracks,1,8,House Tour,Sabrina Carpenter,https://www.last.fm/music/Sabrina+Carpenter/_/House+Tour,6095702d-b48f-46a9-80a3-4f5723fe3b28,214000.0,747055.0,12651782.0,c42c4dc9-0365-40dc-9097-26774f08f346,Man’s Best Friend,2025-08-29,Album,2025.0,sabrina carpenter|||house tour
2026-04-25T07:49:58.367668+00:00,2026-04-25,lastfm_chart_toptracks,1,9,Confident,Justin Bieber,https://www.last.fm/music/Justin+Bieber/_/Confident,2a2fbfc6-b576-4224-be6f-bb9325331f93,247000.0,1086633.0,12923446.0,af34e61f-f15c-44e0-90ba-e54165093c1a,"Promo Only: Hot Video, March 2014",2014,Album,2014.0,justin bieber|||confident
2026-04-25T07:49:58.367668+00:00,2026-04-25,lastfm_chart_toptracks,1,10,Fame Is a Gun,Addison Rae,https://www.last.fm/music/Addison+Rae/_/Fame+Is+a+Gun,37907edc-06c1-4d08-b2ef-7e5221986f91,183000.0,1040600.0,20204612.0,37907edc-06c1-4d08-b2ef-7e5221986f91,NOW That's What I Call Music! 122,2025-11-14,Album,2025.0,addison rae|||fame is a gun
2026-04-25T07:49:58.367668+00:00,2026-04-25,lastfm_chart_toptracks,1,11,SWIM,BTS,https://www.last.fm/music/BTS/_/SWIM,6f33dc05-cdc0-4a2f-8039-e8fed082eec6,159000.0,411325.0,111839718.0,30c7289a-564c-4b47-b813-dc6c9cc211dc,ARIRANG,2026-03-20,Album,2026.0,bts|||swim
2026-04-25T07:49:58.367668+00:00,2026-04-25,lastfm_chart_toptracks,1,12,Body to Body,BTS,https://www.last.fm/music/BTS/_/Body+to+Body,6dfdfc61-89ff-451a-a5e9-5319065beae7,189000.0,376520.0,34941645.0,93acab11-478b-486c-b841-e729d46a522a,ARIRANG,2026-03-20,Album,2026.0,bts|||body to body
2026-04-25T07:49:58.367668+00:00,2026-04-25,lastfm_chart_toptracks,1,13,The Less I Know the Better,Tame Impala,https://www.last.fm/music/Tame+Impala/_/The+Less+I+Know+the+Better,0409caa8-c467-4455-8033-05ff8d9345f1,216000.0,2763170.0,48301365.0,23978c95-6870-4a98-97e2-55d390fdf8c9,"2019‐06‐28: Glastonbury Festival of Contemporary Performing Arts, UK",2019-06-28,Broadcast,2019.0,tame impala|||the less i know the better
2026-04-25T07:49:58.367668+00:00,2026-04-25,lastfm_chart_toptracks,1,14,PINKY UP,KATSEYE,https://www.last.fm/music/KATSEYE/_/PINKY+UP,db073be9-577c-4121-b426-f590cc71b804,131000.0,264761.0,2379451.0,11fb4d4f-4754-4b35-8150-d153dc48c634,PINKY UP,2026-04-09,Single,2026.0,katseye|||pinky up
2026-04-25T07:49:58.367668+00:00,2026-04-25,lastfm_chart_toptracks,1,15,Hooligan,BTS,https://www.last.fm/music/BTS/_/Hooligan,a045f252-ea1a-42c3-b7a5-f69979e39394,182000.0,348140.0,33239776.0,94a203f7-ea41-4e46-9113-48746e081acf,ARIRANG,2026-03-20,Album,2026.0,bts|||hooligan
2026-04-25T07:49:58.367668+00:00,2026-04-25,lastfm_chart_toptracks,1,16,2.0,BTS,https://www.last.fm/music/BTS/_/2.0,1d6222e0-77eb-4047-b4fb-045a0c5636d3,169000.0,322238.0,32754208.0,1d6222e0-77eb-4047-b4fb-045a0c5636d3,ARIRANG,2026-03-20,Album,2026.0,bts|||2.0
